statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-KUNSTW;Kunst, Kunstwissenschaft;GES;Geschlecht;GESW;weiblich;1509;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-AGRVET;Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin;GES;Geschlecht;GESW;weiblich;386;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-SKW;Geisteswissenschaften;GES;Geschlecht;GESM;männlich;2728;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-AGRVET;Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin;GES;Geschlecht;GESW;weiblich;404;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-MEDHUM;Humanmedizin/Gesundheitswissenschaften;GES;Geschlecht;GESM;männlich;3593;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-AGRVET;Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin;GES;Geschlecht;GESW;weiblich;350;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-MEDHUM;Humanmedizin/Gesundheitswissenschaften;GES;Geschlecht;GESM;männlich;3639;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-MEDVET;Veterinärmedizin;GES;Geschlecht;GESM;männlich;-;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-SKW;Geisteswissenschaften;GES;Geschlecht;GESW;weiblich;2016;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;;Insgesamt;GES;Geschlecht;GESM;männlich;36209;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-MEDVET;Veterinärmedizin;GES;Geschlecht;GESM;männlich;-;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-MEDVET;Veterinärmedizin;GES;Geschlecht;GESM;männlich;-;Anzahl;BIL050;Professoren
