statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;4_variable_code;4_variable_label;4_variable_attribute_code;4_variable_attribute_label;5_variable_code;5_variable_label;5_variable_attribute_code;5_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
21321;Statistik der Prüfungen;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATD;Deutsche;GES;Geschlecht;GESM;männlich;BILBP1;Prüfungsergebnis;PRUEFBESTN;Nichtbestandene Prüfung;BILSF1;Studienfach;SF178;Wirtschafts-/Sozialgeografie;1;Anzahl;BIL017;Prüfungen
21321;Statistik der Prüfungen;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATD;Deutsche;GES;Geschlecht;GESW;weiblich;BILBP1;Prüfungsergebnis;PRUEFBESTJ;Bestandene Prüfung;BILSF1;Studienfach;SF544;Ev. Religionspädagogik, kirchliche Bildungsarbeit;113;Anzahl;BIL017;Prüfungen
21321;Statistik der Prüfungen;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATD;Deutsche;GES;Geschlecht;GESM;männlich;BILBP1;Prüfungsergebnis;PRUEFBESTN;Nichtbestandene Prüfung;BILSF1;Studienfach;SF361;Schulpädagogik;3;Anzahl;BIL017;Prüfungen
21321;Statistik der Prüfungen;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATA;Ausländer;GES;Geschlecht;GESW;weiblich;BILBP1;Prüfungsergebnis;PRUEFBESTJ;Bestandene Prüfung;BILSF1;Studienfach;SF090;Lernbereich Geisteswissenschaften;27;Anzahl;BIL017;Prüfungen
21321;Statistik der Prüfungen;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATA;Ausländer;GES;Geschlecht;GESM;männlich;BILBP1;Prüfungsergebnis;PRUEFBESTJ;Bestandene Prüfung;BILSF1;Studienfach;SF241;Kerntechnik/Kernverfahrenstechn.(ab 2020 zu SF211);-;Anzahl;BIL017;Prüfungen
21321;Statistik der Prüfungen;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATD;Deutsche;GES;Geschlecht;GESW;weiblich;BILBP1;Prüfungsergebnis;PRUEFBESTN;Nichtbestandene Prüfung;BILSF1;Studienfach;SF113;Musikerziehung;7;Anzahl;BIL017;Prüfungen
21321;Statistik der Prüfungen;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATA;Ausländer;GES;Geschlecht;GESM;männlich;BILBP1;Prüfungsergebnis;PRUEFBESTJ;Bestandene Prüfung;BILSF1;Studienfach;SF235;Fahrzeugtechnik;398;Anzahl;BIL017;Prüfungen
21321;Statistik der Prüfungen;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATA;Ausländer;GES;Geschlecht;GESM;männlich;BILBP1;Prüfungsergebnis;PRUEFBESTN;Nichtbestandene Prüfung;BILSF1;Studienfach;SF046;Sozialmed./Öff. Gesundheitsw. (ab 2004 zu SF232);-;Anzahl;BIL017;Prüfungen
21321;Statistik der Prüfungen;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATD;Deutsche;GES;Geschlecht;GESW;weiblich;BILBP1;Prüfungsergebnis;PRUEFBESTN;Nichtbestandene Prüfung;BILSF1;Studienfach;SF068;Geschichte;48;Anzahl;BIL017;Prüfungen
21321;Statistik der Prüfungen;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;NAT;Nationalität;NATA;Ausländer;GES;Geschlecht;GESM;männlich;BILBP1;Prüfungsergebnis;PRUEFBESTN;Nichtbestandene Prüfung;BILSF1;Studienfach;SF206;Polnisch;-;Anzahl;BIL017;Prüfungen
