,year,nationality,gender,subj_code,subj_name,number
302,2020,NATA,GESM,SF287,Neue Medien,234
303,2019,NATA,GESW,SF263,Polizei/Verfassungsschutz,69
304,2019,NATA,GESM,SF031,Byzantinistik,12
305,2023,NATD,GESW,SF216,Glastechnik/Keramik,31
306,2020,NATA,GESW,SF181,Wirtschaftspädagogik,265
307,2021,NATA,GESM,SF080,Instrumentalmusik,1998
308,2023,NATA,GESM,SF182,Internationale Betriebswirtschaft/Management,7701
309,2018,NATA,GESW,SF132,Psychologie,4643
310,2022,NATA,GESM,SF247,Medizinische Informatik,561
311,2020,NATA,GESM,SF047,Krankenpflege-Ausbildung (ab 2004 zu SF234),0
312,2022,NATA,GESM,SF007,Angewandte Kunst,164
313,2022,NATD,GESM,SF176,Werkerziehung,40
314,2018,NATD,GESW,SF181,Wirtschaftspädagogik,4270
315,2019,NATA,GESW,SF023,Bildende Kunst/Grafik,778
316,2021,NATD,GESW,SF371,Tierproduktion,222
317,2019,NATA,GESW,SF169,Ethik,73
318,2022,NATD,GESM,SF030,"Interdisz.Studien(Schwerp.Rechts-,Wirt.-u.Sozialw)",6586
319,2018,NATD,GESM,SF287,Neue Medien,944
320,2021,NATD,GESM,SF048,Elektrotechnik/Elektronik,37364
321,2021,NATA,GESW,SF224,Physikal. Technik/Mechanische Verfahrenstechnik,152
322,2022,NATD,GESW,SF266,Finanzverwaltung,1251
323,2021,NATD,GESW,SF132,Psychologie,72672
324,2023,NATA,GESM,SF186,Lernbereich Naturwissenschaft/Sachunterricht,22
325,2023,NATA,GESW,SF270,Berufs- und Wirtschaftspädagogik,106
326,2018,NATA,GESM,SF081,Iranistik,32
327,2018,NATA,GESM,SF237,Math.Stat./Wahrscheinlichkeitsr. (ab 2020 z.SF312),204
328,2023,NATA,GESM,SF040,"Interdisz. Studien (Schwerpunkt Kunst, Kunstwiss.)",140
329,2021,NATA,GESW,SF072,Interdisz. Studien (Schwerp. Ingenieurwissensch.),1323
330,2018,NATD,GESM,SF047,Krankenpflege-Ausbildung (ab 2004 zu SF234),0
331,2021,NATA,GESW,SF464,Facility Management,87
332,2023,NATA,GESW,SF030,"Interdisz.Studien(Schwerp.Rechts-,Wirt.-u.Sozialw)",1941
333,2022,NATD,GESW,SF120,"Nordistik/Skandinavist.(Nord.Phil.,Einzelsp.a.n.g)",741
334,2022,NATA,GESW,SF380,Mechatronik,877
335,2018,NATD,GESW,SF184,Wirtschaftswissenschaften,33506
336,2021,NATD,GESW,SF038,Lateinamerika-Studien,247
337,2023,NATA,GESW,SF176,Werkerziehung,2
338,2020,NATD,GESW,SF242,Innenarchitektur,2919
339,2022,NATA,GESW,SF140,Angewandte Systemwissenschaften,277
340,2022,NATD,GESW,SF026,Biologie,31511
341,2018,NATD,GESM,SF141,Abfallwirtschaft,80
342,2023,NATD,GESM,SF126,Pharmazie,3794
343,2022,NATA,GESW,SF286,Mikrosystemtechnik,290
344,2020,NATD,GESW,SF002,Afrikanistik,631
345,2020,NATD,GESM,SF193,Kirchenmusik,292
346,2022,NATA,GESW,SF287,Neue Medien,317
347,2019,NATA,GESW,SF020,Bergbau/Bergtechnik,193
348,2020,NATD,GESM,SF203,Industriedesign/Produktgestaltung,1840
349,2022,NATD,GESM,SF031,Byzantinistik,4
350,2022,NATD,GESM,SF271,Deutsch als Fremdsprache oder als Zweitsprache,378
351,2020,NATD,GESW,SF148,Sozialwissenschaften,11890
352,2019,NATD,GESW,SF073,Judaistik/Hebräisch,305
353,2019,NATA,GESW,SF260,Bundeswehrverwaltung,2
354,2020,NATA,GESM,SF286,Mikrosystemtechnik,954
355,2019,NATA,GESW,SF166,Sportmanagement/Sportökonomie,92
356,2020,NATA,GESM,SF046,Sozialmed./Öff. Gesundheitsw. (ab 2004 zu SF232),0
357,2019,NATA,GESM,SF176,Werkerziehung,0
