,acyear,nationality,gender,subj_code,subj_name,stud_count
193,2021,NATD,GESM,SF043,Neugriechisch,2
194,2019,NATA,GESW,SF265,Bankwesen,2
195,2019,NATD,GESW,SF172,Verwaltungswissenschaft/-wesen,2473
196,2020,NATA,GESW,SF237,Math.Stat./Wahrscheinlichkeitsr. (ab 2020 z.SF312),0
197,2018,NATA,GESW,SF032,Chemie,702
198,2023,NATA,GESM,SF180,Kaukasistik,0
199,2022,NATD,GESM,SF130,Westslawisch (allgemein und a.n.g.),2
200,2020,NATA,GESW,SF081,Iranistik,7
201,2020,NATD,GESM,SF196,Studienkolleg,0
202,2020,NATA,GESM,SF049,Interdisz. Studien (Schwerp. Naturwissenschaften),196
203,2022,NATA,GESM,SF103,Markscheidewesen,2
204,2020,NATD,GESM,SF206,Polnisch,1
205,2021,NATD,GESM,SF283,Landschaftsökol./Biogeografie (ab 2012 ohne SF385),52
206,2022,NATA,GESM,SF093,Landespflege/Landschaftsgestaltung,20
207,2021,NATA,GESW,SF070,Griechisch,9
208,2018,NATA,GESW,SF038,Lateinamerika-Studien,22
209,2018,NATD,GESM,SF143,Augenoptik,33
210,2022,NATD,GESW,SF122,"Orientalistik, Altorientalistik",118
211,2018,NATD,GESW,SF088,Optoelektronik,13
212,2021,NATD,GESM,SF046,Sozialmed./Öff. Gesundheitsw. (ab 2004 zu SF232),0
213,2023,NATA,GESW,SF174,Volkskunde,12
214,2023,NATA,GESM,SF184,Wirtschaftswissenschaften,1649
215,2021,NATD,GESW,SF130,Westslawisch (allgemein und a.n.g.),0
216,2021,NATA,GESW,SF320,Ernährungswissenschaft,130
217,2021,NATD,GESW,SF276,Wirtschaftsmathematik,259
218,2018,NATA,GESM,SF333,Haushaltswissenschaft,0
219,2022,NATD,GESW,SF028,Brauwesen/Getränketechnologie,16
220,2022,NATA,GESW,SF284,Angewandte Sprachwissenschaft,161
221,2023,NATD,GESM,SF124,Ozeanografie,0
222,2019,NATA,GESM,SF271,Deutsch als Fremdsprache oder als Zweitsprache,150
223,2023,NATD,GESW,SF060,Gartenbau,114
224,2022,NATD,GESW,SF268,Verkehrswesen,0
225,2021,NATD,GESW,SF036,Sonstige Regionalwissenschaften,26
226,2023,NATD,GESW,SF310,Regenerative Energien,96
227,2018,NATA,GESM,SF083,Islamwissenschaft,27
228,2020,NATD,GESW,SF146,Slawistik (Slawische Philologie),73
229,2022,NATA,GESW,SF044,Ost- und Südosteuropa-Studien,7
230,2019,NATA,GESM,SF178,Wirtschafts-/Sozialgeografie,1
231,2022,NATA,GESM,SF090,Lernbereich Geisteswissenschaften,25
232,2021,NATD,GESM,SF380,Mechatronik,1607
233,2020,NATA,GESW,SF086,"Katholische Theologie, - Religionslehre",12
234,2020,NATA,GESM,SF142,Schiffbau/Schiffstechnik,17
235,2019,NATA,GESM,SF032,Chemie,617
236,2020,NATD,GESM,SF191,Komposition,10
237,2020,NATD,GESM,SF201,Werken (technisch)/Technologie,21
238,2019,NATD,GESW,SF321,Erwachsenenbildung und außerschulische Jugendbild.,119
239,2019,NATA,GESW,SF262,Bibliothekswesen,0
240,2018,NATA,GESW,SF371,Tierproduktion,2
241,2019,NATA,GESW,SF168,Justizvollzug,0
242,2020,NATA,GESM,SF048,Elektrotechnik/Elektronik,2689
243,2018,NATA,GESW,SF131,Portugiesisch,11
244,2022,NATA,GESM,SF006,Amerikanistik/Amerikakunde,101
245,2021,NATD,GESM,SF286,Mikrosystemtechnik,117
246,2020,NATA,GESW,SF180,Kaukasistik,0
247,2021,NATA,GESW,SF227,Weinbau und Kellerwirtschaft,41
