,year,subj_grp_code,subj_grp_name,gender,number
912,2020,SB-KUNSTW-03,Gestaltung,f,683
913,2022,SB-NATW-01,"Mathematik, Naturwissenschaften allgemein",f,326
914,2020,SB-SKW-12,"Slawistik, Baltistik, Finno-Ugristik",m,165
915,2018,SB-INGW-02,"Bergbau, Hüttenwesen",m,397
916,2020,SB-NATW-09,Geographie,f,808
917,2022,SB-NATW-02,Mathematik,f,1674
918,2018,SB-RWSW-08,Wirtschaftswissenschaften,m,10972
919,2018,HS-VERW-01,Zentrale Hochschulverwaltung,f,2024
920,2023,SB-MEDHUM-01,Gesundheitswissenschaften,f,1607
921,2020,SB-SKW-11,Romanistik,m,424
922,2019,EINR-VERS-01,Zentrale Betriebs- und Versorgungseinrichtungen,f,100
923,2022,SB-INGW-09,Vermessungswesen,m,512
924,2020,EINR-HSFRMD-02,Mit der Hochschule verb. u. hochschulfr. Einricht.,m,146
925,2020,SB-KUNSTW-02,Bildende Kunst,f,338
926,2018,SB-RWSW-07,Verwaltungswissenschaften,m,1219
927,2023,MEDHUM-VK-01,Vorklinische Humanmedizin (einschl. Zahnmedizin),f,2424
928,2022,SB-RWSW-10,Psychologie,m,2200
929,2021,AFEW-ALLG-01,"Agrar-, Forst- und Ernährungswissenschaften allg.",f,103
930,2021,MEDVET-ALLG-01,Veterinärmedizin allgemein,f,7
931,2018,SB-SKW-17,Sonderpädagogik,m,0
932,2020,MEDHUM-ALLG-01,Humanmedizin allgemein,m,471
933,2019,AFEW-ALLG-01,"Agrar-, Forst- und Ernährungswissenschaften allg.",f,72
934,2022,SB-NATW-05,Chemie,f,3595
935,2022,SB-RWSW-11,Erziehungswissenschaften,m,2107
936,2023,SB-NATW-01,"Mathematik, Naturwissenschaften allgemein",f,350
937,2018,EINR-KLFRMD-02,Mit der Klinik verbundene u.klinikfremde Einricht.,m,15
938,2023,SB-INGW-04,Elektro- und Informationstechnik,m,7954
939,2022,SB-INGW-08,Bauingenieurwesen,m,3484
940,2021,SB-NATW-08,Geowissenschaften (ohne Geographie),f,1069
941,2019,SB-RWSW-05,Sozialwesen,m,967
