,year,nationality,gender,subj_code,subj_name,number
432,2022,foreign,m,196,Studienkolleg,0
433,2021,domestic,f,178,Wirtschafts-/Sozialgeografie,0
434,2022,foreign,m,206,Polnisch,2
435,2018,domestic,f,231,Druck- und Reproduktionstechnik,98
436,2023,domestic,m,222,Kommunikations- und Informationstechnik,505
437,2023,foreign,m,188,Allgemeine Literaturwissenschaft,32
438,2018,foreign,f,171,Vermessungswesen (Geodäsie),90
439,2019,domestic,f,032,Chemie,2389
440,2020,foreign,m,283,Landschaftsökol./Biogeografie (ab 2012 ohne SF385),1
441,2019,domestic,f,178,Wirtschafts-/Sozialgeografie,0
442,2023,foreign,f,134,Raumplanung,201
443,2020,foreign,m,044,Ost- und Südosteuropa-Studien,8
444,2019,foreign,m,276,Wirtschaftsmathematik,108
445,2018,foreign,m,043,Neugriechisch,2
446,2023,domestic,f,065,Geologie/Paläontologie,3
447,2021,domestic,m,086,"Katholische Theologie, - Religionslehre",113
448,2018,domestic,f,138,Agrarbiologie,83
449,2020,foreign,f,184,Wirtschaftswissenschaften,1266
450,2021,foreign,m,275,Wissenschaftsgeschichte/Technikgeschichte,0
451,2019,domestic,m,085,Japanologie,189
452,2020,domestic,f,004,Interdisz. Studien (Schwerpunkt Geisteswiss.),1525
453,2018,foreign,m,283,Landschaftsökol./Biogeografie (ab 2012 ohne SF385),4
454,2019,foreign,m,130,Westslawisch (allgemein und a.n.g.),4
455,2022,domestic,f,072,Interdisz. Studien (Schwerp. Ingenieurwissensch.),507
456,2020,domestic,m,093,Landespflege/Landschaftsgestaltung,323
457,2020,domestic,m,103,Markscheidewesen,2
458,2018,foreign,f,077,Wasserwirtschaft,56
459,2021,foreign,m,035,Darstellende Kunst/Bühnenkunst/Regie,21
460,2019,domestic,f,271,Deutsch als Fremdsprache oder als Zweitsprache,194
461,2019,foreign,m,036,Sonstige Regionalwissenschaften,21
462,2019,foreign,f,222,Kommunikations- und Informationstechnik,134
463,2018,foreign,m,189,Niederdeutsch,0
464,2020,domestic,m,009,Anthropologie (Humanbiologie),3
465,2022,foreign,m,290,Sonstige Fächer,492
466,2018,domestic,m,094,Wasserbau,95
467,2021,domestic,f,272,Alte Geschichte,16
468,2022,foreign,m,300,Biomedizin,51
469,2018,domestic,m,104,Maschinenbau/-wesen,10445
470,2022,foreign,f,083,Islamwissenschaft,11
471,2021,foreign,f,127,Philosophie,324
472,2023,foreign,m,187,Asiatische Sprachen u.Kulturen/Asienwissenschaften,37
473,2019,foreign,f,223,Nautik/Seefahrt,13
474,2021,foreign,f,223,Nautik/Seefahrt,12
475,2021,domestic,f,429,Stahlbau,0
476,2019,domestic,f,429,Stahlbau,0
477,2023,domestic,m,129,Politikwissenschaft/Politologie,1375
478,2022,foreign,m,197,Holzbau,2
479,2021,domestic,f,179,Wirtschaftsingenieurw.m.wirtschaftswiss.Schwerpkt.,639
480,2022,foreign,m,207,Sorabistik,1
481,2019,domestic,f,273,Mittlere und neuere Geschichte,21
482,2023,foreign,m,041,Sonstiges Orientierungsstudium,11
483,2022,domestic,m,231,Druck- und Reproduktionstechnik,84
484,2021,domestic,f,033,Chemie-Ingenieurwesen/Chemieverfahrenstechnik,271
485,2022,foreign,m,190,Erziehungsschwierigenpädagogik (ab 2016 zu SF190),0
486,2018,foreign,m,282,Biotechnologie,166
487,2019,foreign,f,129,Politikwissenschaft/Politologie,1041
