,year,subj_grp_code,subj_grp_name,gender,number
1014,2020,FACHGR-ZE-01,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),GESW,7393
1015,2019,FACHGR-SKW,Geisteswissenschaften,GESW,10523
1016,2019,FACHGR-NATW,"Mathematik, Naturwissenschaften",GESM,30715
1017,2020,FACHGR-MEDHUM,Humanmedizin/Gesundheitswissenschaften,GESW,35503
1018,2018,FACHGR-NATW,"Mathematik, Naturwissenschaften",GESM,30546
1019,2023,FACHGR-NATW,"Mathematik, Naturwissenschaften",GESW,15720
1020,2020,FACHGR-RWSW,"Rechts-, Wirtschafts- und Sozialwissenschaften",GESM,25381
1021,2021,FACHGR-MEDHUM,Humanmedizin/Gesundheitswissenschaften,GESW,36796
1022,2022,FACHGR-ZE-01,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),GESW,7891
1023,2019,FACHGR-SKW,Geisteswissenschaften,GESM,9795
1024,2021,,Insgesamt,GESM,161505
1025,2021,FACHGR-KUNSTW,"Kunst, Kunstwissenschaft",GESM,4366
1026,2018,FACHGR-ZE-01,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),GESW,7196
1027,2023,FACHGR-INGW,Ingenieurwissenschaften,GESM,43973
1028,2019,FACHGR-INGW,Ingenieurwissenschaften,GESM,41940
1029,2018,FACHGR-ZE-02,Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.),GESW,918
1030,2020,FACHGR-NATW,"Mathematik, Naturwissenschaften",GESW,14668
1031,2021,FACHGR-INGW,Ingenieurwissenschaften,GESM,44189
1032,2023,FACHGR-MEDHUM,Humanmedizin/Gesundheitswissenschaften,GESW,39574
1033,2020,FACHGR-ZE-02,Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.),GESW,1118
1034,2021,FACHGR-SKW,Geisteswissenschaften,GESM,9634
1035,2023,,Insgesamt,GESW,120393
1036,2022,FACHGR-ZE-02,Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.),GESW,1555
1037,2022,FACHGR-SKW,Geisteswissenschaften,GESM,9504
1038,2018,FACHGR-AGRVET,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",GESM,3240
1039,2023,FACHGR-KUNSTW,"Kunst, Kunstwissenschaft",GESM,4357
1040,2018,FACHGR-KUNSTW,"Kunst, Kunstwissenschaft",GESM,4314
1041,2020,,Insgesamt,GESM,159568
