,year,nationality,gender,passed,subj_code,subj_name,number
196,2018,NATA,GESM,PRUEFBESTN,SF287,Neue Medien,0
197,2019,NATA,GESM,PRUEFBESTN,SF134,Raumplanung,1
198,2023,NATD,GESW,PRUEFBESTJ,SF259,Auswärtige Angelegenheiten,38
199,2020,NATA,GESM,PRUEFBESTJ,SF242,Innenarchitektur,14
200,2019,NATA,GESW,PRUEFBESTN,SF085,Japanologie,2
201,2021,NATA,GESW,PRUEFBESTN,SF091,Kunsterziehung,0
202,2021,NATA,GESM,PRUEFBESTN,SF286,Mikrosystemtechnik,10
203,2019,NATD,GESM,PRUEFBESTN,SF268,Verkehrswesen,0
204,2023,NATA,GESW,PRUEFBESTN,SF305,Medientechnik,2
205,2023,NATA,GESM,PRUEFBESTN,SF104,Maschinenbau/-wesen,292
206,2019,NATA,GESM,PRUEFBESTJ,SF073,Judaistik/Hebräisch,12
207,2021,NATD,GESM,PRUEFBESTN,SF176,Werkerziehung,0
208,2023,NATA,GESM,PRUEFBESTN,SF094,Wasserbau,9
209,2021,NATA,GESW,PRUEFBESTN,SF101,Restaurierungskunde,0
210,2020,NATD,GESM,PRUEFBESTN,SF089,Verkehrsingenieurwesen,50
211,2023,NATD,GESW,PRUEFBESTJ,SF019,Orientierungsstudium MINT,0
212,2019,NATD,GESM,PRUEFBESTJ,SF457,Umwelttechnik (einschließlich Recycling),860
213,2020,NATA,GESW,PRUEFBESTN,SF014,Astrophysik und Astronomie,0
214,2023,NATD,GESM,PRUEFBESTN,SF082,Holz-/Fasertechnik,1
215,2023,NATA,GESW,PRUEFBESTN,SF545,"Kath. Religionspäd., kirchliche Bildungsarbeit",0
216,2021,NATD,GESW,PRUEFBESTN,SF235,Fahrzeugtechnik,5
217,2018,NATD,GESW,PRUEFBESTN,SF018,Berufsbezogene Fremdsprachenausbildung,6
218,2020,NATD,GESW,PRUEFBESTN,SF024,Europäische Ethnologie und Kulturwissenschaft,7
219,2018,NATA,GESW,PRUEFBESTN,SF008,Anglistik/Englisch,23
220,2021,NATA,GESM,PRUEFBESTN,SF046,Sozialmed./Öff. Gesundheitsw. (ab 2004 zu SF232),0
221,2019,NATD,GESM,PRUEFBESTN,SF028,Brauwesen/Getränketechnologie,63
