,year,nationality,gender,subj_code,subj_name,number,subgroup
327,2018,NATA,GESM,SF237,Math.Stat./Wahrscheinlichkeitsr. (ab 2020 z.SF312),204,stud_all
328,2023,NATA,GESM,SF040,"Interdisz. Studien (Schwerpunkt Kunst, Kunstwiss.)",140,stud_all
329,2021,NATA,GESW,SF072,Interdisz. Studien (Schwerp. Ingenieurwissensch.),1323,stud_all
330,2018,NATD,GESM,SF047,Krankenpflege-Ausbildung (ab 2004 zu SF234),0,stud_all
331,2021,NATA,GESW,SF464,Facility Management,87,stud_all
332,2023,NATA,GESW,SF030,"Interdisz.Studien(Schwerp.Rechts-,Wirt.-u.Sozialw)",1941,stud_all
333,2022,NATD,GESW,SF120,"Nordistik/Skandinavist.(Nord.Phil.,Einzelsp.a.n.g)",741,stud_all
334,2022,NATA,GESW,SF380,Mechatronik,877,stud_all
335,2018,NATD,GESW,SF184,Wirtschaftswissenschaften,33506,stud_all
336,2021,NATD,GESW,SF038,Lateinamerika-Studien,247,stud_all
337,2023,NATA,GESW,SF176,Werkerziehung,2,stud_all
338,2020,NATD,GESW,SF242,Innenarchitektur,2919,stud_all
339,2022,NATA,GESW,SF140,Angewandte Systemwissenschaften,277,stud_all
340,2022,NATD,GESW,SF026,Biologie,31511,stud_all
341,2018,NATD,GESM,SF141,Abfallwirtschaft,80,stud_all
342,2023,NATD,GESM,SF126,Pharmazie,3794,stud_all
343,2022,NATA,GESW,SF286,Mikrosystemtechnik,290,stud_all
344,2020,NATD,GESW,SF002,Afrikanistik,631,stud_all
345,2020,NATD,GESM,SF193,Kirchenmusik,292,stud_all
346,2022,NATA,GESW,SF287,Neue Medien,317,stud_all
347,2019,NATA,GESW,SF020,Bergbau/Bergtechnik,193,stud_all
348,2020,NATD,GESM,SF203,Industriedesign/Produktgestaltung,1840,stud_all
349,2022,NATD,GESM,SF031,Byzantinistik,4,stud_all
350,2022,NATD,GESM,SF271,Deutsch als Fremdsprache oder als Zweitsprache,378,stud_all
351,2020,NATD,GESW,SF148,Sozialwissenschaften,11890,stud_all
352,2019,NATD,GESW,SF073,Judaistik/Hebräisch,305,stud_all
353,2019,NATA,GESW,SF260,Bundeswehrverwaltung,2,stud_all
354,2020,NATA,GESM,SF286,Mikrosystemtechnik,954,stud_all
355,2019,NATA,GESW,SF166,Sportmanagement/Sportökonomie,92,stud_all
356,2020,NATA,GESM,SF046,Sozialmed./Öff. Gesundheitsw. (ab 2004 zu SF232),0,stud_all
357,2019,NATA,GESM,SF176,Werkerziehung,0,stud_all
358,2022,NATA,GESW,SF047,Krankenpflege-Ausbildung (ab 2004 zu SF234),0,stud_all
359,2020,NATA,GESW,SF084,Italienisch,296,stud_all
